UserID,MessageTime,Quote,Text
30833104,2024-03-18 20:59:00,[],"

Bác nào cho em xin review phỏng vấn Upskills, Paradox với ạ

 
"
30833375,2024-03-18 21:16:00,"[['30833026'], {'blockid': '1725408', 'data_source': '30833026', 'data_text': '\n\nỐi Dồi Ôi ! said:\n\n\n\nBackend - Golang ạ\n\nClick to expand...\n\n'}]","



Ối Dồi Ôi ! said:



Backend - Golang ạ

Click to expand...

bác cho em xin link tuyển dc k e kiếm ra mỗi GHTK 

 
"
30833565,2024-03-18 21:29:00,"[['30833375'], {'blockid': '1829967', 'data_source': '30833375', 'data_text': '\n\nchiyeuemthoi said:\n\n\n\nbác cho em xin link tuyển dc k e kiếm ra mỗi GHTK \n\nClick to expand...\n\n'}]","



chiyeuemthoi said:



bác cho em xin link tuyển dc k e kiếm ra mỗi GHTK 

Click to expand...

ITviec ấy b








One Mount Group tuyển dụng Senior Backend Engineer (Java/Golang) chất | ITviec


One Mount Group tuyển dụng Senior Backend Engineer (Java/Golang) tại Ha Noi. Lương cao, phúc lợi hấp dẫn.




itviec.com





 
"
30834712,2024-03-18 22:47:00,"[['30833026'], {'blockid': '1725408', 'data_source': '30833026', 'data_text': '\n\nỐi Dồi Ôi ! said:\n\n\n\nBackend - Golang ạ\n\nClick to expand...\n\n'}]","



Ối Dồi Ôi ! said:



Backend - Golang ạ

Click to expand...

Ý là level nào đấy thím, chứ Golang ai chả biết BE, không lẽ FE

 
"
30835419,2024-03-18 23:47:00,"[['30834712'], {'blockid': '1683318', 'data_source': '30834712', 'data_text': '\n\nHow long will i love u said:\n\n\n\nÝ là level nào đấy thím, chứ Golang ai chả biết BE, không lẽ FE\n\nClick to expand...\n\n'}]","



How long will i love u said:



Ý là level nào đấy thím, chứ Golang ai chả biết BE, không lẽ FE

Click to expand...

Junior level ạ 

 
"
30835463,2024-03-18 23:51:00,"[['30835419'], {'blockid': '1725408', 'data_source': '30835419', 'data_text': '\n\nỐi Dồi Ôi ! said:\n\n\n\nJunior level ạ \n\nClick to expand...\n\n'}]","



Ối Dồi Ôi ! said:



Junior level ạ 

Click to expand...

ơ e thấy toàn tuyển Senior 

 
"
30835513,2024-03-18 23:58:00,"[['30835463'], {'blockid': '1829967', 'data_source': '30835463', 'data_text': '\n\nchiyeuemthoi said:\n\n\n\nơ e thấy toàn tuyển Senior \n\nClick to expand...\n\n'}]","



chiyeuemthoi said:



ơ e thấy toàn tuyển Senior 

Click to expand...

Cứ apply đại đi thím. Để ý cả range lương nữa ấy ))

 
"
30928451,2024-03-24 19:52:00,[],"

Có bác nào phỏng vấn Starcamp NAB chưa ạ? Cho em xin chút review với ạ

 
"
30930135,2024-03-24 21:50:00,[],"

Có bác nào thành công trong việc deal 2 công ty làm remote chưa ạ? Cho mình xin ít kinh nghiệm với

 
"
30930400,2024-03-24 22:08:00,"[['30930135'], {'blockid': '89186', 'data_source': '30930135', 'data_text': '\n\nrecca2007 said:\n\n\n\nCó bác nào thành công trong việc deal 2 công ty làm remote chưa ạ? Cho mình xin ít kinh nghiệm với\n\nClick to expand...\n\n'}]","



recca2007 said:



Có bác nào thành công trong việc deal 2 công ty làm remote chưa ạ? Cho mình xin ít kinh nghiệm với

Click to expand...

Đừng cho 2 công ty biết là đc

 
"
