UserID,MessageTime,Quote,Text
33193897,2024-08-13 16:18:00,[],"

thím nào pv Java Junior ở MB LVL chưa ạ? cho em xin ít review

 
"
33196647,2024-08-13 19:38:00,"[['33193897'], {'blockid': '1698220', 'data_source': '33193897', 'data_text': '\n\nminhhai1906 said:\n\n\n\nthím nào pv Java Junior ở MB LVL chưa ạ? cho em xin ít review\n\nClick to expand...\n\n'}]","



minhhai1906 said:



thím nào pv Java Junior ở MB LVL chưa ạ? cho em xin ít review

Click to expand...

pv về rv nhé thím

 
"
33198936,2024-08-13 22:32:00,"[['33196647'], {'blockid': '1829967', 'data_source': '33196647', 'data_text': '\n\nchiyeuemthoi said:\n\n\n\npv về rv nhé thím\n\nClick to expand...\n\n'}]","



chiyeuemthoi said:



pv về rv nhé thím

Click to expand...

MB nó tự chốt lịch pv luôn fen ạ, HR đéo thèm liên hệ luôn, check mail đã thấy lịch pv rồi 

 
"
33199683,2024-08-13 23:39:00,"[['33198936'], {'blockid': '1698220', 'data_source': '33198936', 'data_text': '\n\nminhhai1906 said:\n\n\n\nMB nó tự chốt lịch pv luôn fen ạ, HR đéo thèm liên hệ luôn, check mail đã thấy lịch pv rồi \n\nClick to expand...\n\n'}]","



minhhai1906 said:



MB nó tự chốt lịch pv luôn fen ạ, HR đéo thèm liên hệ luôn, check mail đã thấy lịch pv rồi 

Click to expand...


Đúng rồi bác ạ, HR bên MB làm ăn thiếu chuyên nghiệp cực. Đến lúc đi làm rồi càng thấy thiếu chuyên nghiệp hơn. Lúc vào thì các bác sẽ phải đi đào tạo tân tuyển, nếu làm không đủ 2 năm thì phải trả 10 triệu (trừ theo luỹ tiến, nếu làm 1 năm rồi thì còn 5 củ thôi).
Tất nhiên 10 củ thì nó chả thấm đâu cơ mà tôi ghét cái kiểu ràng buộc vl. MÀ NHÉ HR KHÔNG NÓI CÓ VỤ ĐẤY ĐÂU
Còn vào làm thì tuỳ team bác nhé, team tốt team toxic. Nếu lúc phỏng vấn căng thì khả năng là team ngon vì mấy ông dốt không biết hỏi gì đâu :v


 
"
33199747,2024-08-13 23:47:00,"[['33199683'], {'blockid': '2029801', 'data_source': '33199683', 'data_text': '\n\nnoob_man said:\n\n\n\n\nĐúng rồi bác ạ, HR bên MB làm ăn thiếu chuyên nghiệp cực. Đến lúc đi làm rồi càng thấy thiếu chuyên nghiệp hơn. Lúc vào thì các bác sẽ phải đi đào tạo tân tuyển, nếu làm không đủ 2 năm thì phải trả 10 triệu (trừ theo luỹ tiến, nếu làm 1 năm rồi thì còn 5 củ thôi).\nTất nhiên 10 củ thì nó chả thấm đâu cơ mà tôi ghét cái kiểu ràng buộc vl. MÀ NHÉ HR KHÔNG NÓI CÓ VỤ ĐẤY ĐÂU\nCòn vào làm thì tuỳ team bác nhé, team tốt team toxic. Nếu lúc phỏng vấn căng thì khả năng là team ngon vì mấy ông dốt không biết hỏi gì đâu :v\n\n\nClick to expand...\n\n'}]","



noob_man said:




Đúng rồi bác ạ, HR bên MB làm ăn thiếu chuyên nghiệp cực. Đến lúc đi làm rồi càng thấy thiếu chuyên nghiệp hơn. Lúc vào thì các bác sẽ phải đi đào tạo tân tuyển, nếu làm không đủ 2 năm thì phải trả 10 triệu (trừ theo luỹ tiến, nếu làm 1 năm rồi thì còn 5 củ thôi).
Tất nhiên 10 củ thì nó chả thấm đâu cơ mà tôi ghét cái kiểu ràng buộc vl. MÀ NHÉ HR KHÔNG NÓI CÓ VỤ ĐẤY ĐÂU
Còn vào làm thì tuỳ team bác nhé, team tốt team toxic. Nếu lúc phỏng vấn căng thì khả năng là team ngon vì mấy ông dốt không biết hỏi gì đâu :v


Click to expand...

cho em xin review DA ở đó với bác

 
"
33199776,2024-08-13 23:51:00,"[['33199747'], {'blockid': '1829967', 'data_source': '33199747', 'data_text': '\n\nchiyeuemthoi said:\n\n\n\ncho em xin review DA ở đó với bác\n\nClick to expand...\n\n'}]","



chiyeuemthoi said:



cho em xin review DA ở đó với bác

Click to expand...

DA team data thì nghe bảo ổn bác nhé! Tại tôi cũng nghỉ rồi bác ơi nên không có biết chi tiết lắm

 
"
33199905,2024-08-14 00:07:00,"[['25644073'], {'blockid': '1754170', 'data_source': '25644073', 'data_text': '\n\nTinh Thần said:\n\n\n\nMấy bác có ai làm hoặc có quen người làm ở Lampart không cho em xin ít review với ạ, cảm ơn mấy bác\n\nClick to expand...\n\n'}]","



Tinh Thần said:



Mấy bác có ai làm hoặc có quen người làm ở Lampart không cho em xin ít review với ạ, cảm ơn mấy bác

Click to expand...

Bác nhận chỗ đó chưa :v Thằng bạn em mới được PHP Intern gọi

 
"
33201383,2024-08-14 08:28:00,"[['33198936'], {'blockid': '1698220', 'data_source': '33198936', 'data_text': '\n\nminhhai1906 said:\n\n\n\nMB nó tự chốt lịch pv luôn fen ạ, HR đéo thèm liên hệ luôn, check mail đã thấy lịch pv rồi \n\nClick to expand...\n\n'}]","



minhhai1906 said:



MB nó tự chốt lịch pv luôn fen ạ, HR đéo thèm liên hệ luôn, check mail đã thấy lịch pv rồi 

Click to expand...

Bao giờ bác pv vậy ạ?

 
"
33204408,2024-08-14 11:05:00,[],"

Có bác nào làm ở ca*tis chưa ạ, cho em xin ít review 

 
"
33206204,2024-08-14 12:55:00,"[['33199683'], {'blockid': '2029801', 'data_source': '33199683', 'data_text': '\n\nnoob_man said:\n\n\n\n\nĐúng rồi bác ạ, HR bên MB làm ăn thiếu chuyên nghiệp cực. Đến lúc đi làm rồi càng thấy thiếu chuyên nghiệp hơn. Lúc vào thì các bác sẽ phải đi đào tạo tân tuyển, nếu làm không đủ 2 năm thì phải trả 10 triệu (trừ theo luỹ tiến, nếu làm 1 năm rồi thì còn 5 củ thôi).\nTất nhiên 10 củ thì nó chả thấm đâu cơ mà tôi ghét cái kiểu ràng buộc vl. MÀ NHÉ HR KHÔNG NÓI CÓ VỤ ĐẤY ĐÂU\nCòn vào làm thì tuỳ team bác nhé, team tốt team toxic. Nếu lúc phỏng vấn căng thì khả năng là team ngon vì mấy ông dốt không biết hỏi gì đâu :v\n\n\nClick to expand...\n\n'}]","



noob_man said:




Đúng rồi bác ạ, HR bên MB làm ăn thiếu chuyên nghiệp cực. Đến lúc đi làm rồi càng thấy thiếu chuyên nghiệp hơn. Lúc vào thì các bác sẽ phải đi đào tạo tân tuyển, nếu làm không đủ 2 năm thì phải trả 10 triệu (trừ theo luỹ tiến, nếu làm 1 năm rồi thì còn 5 củ thôi).
Tất nhiên 10 củ thì nó chả thấm đâu cơ mà tôi ghét cái kiểu ràng buộc vl. MÀ NHÉ HR KHÔNG NÓI CÓ VỤ ĐẤY ĐÂU
Còn vào làm thì tuỳ team bác nhé, team tốt team toxic. Nếu lúc phỏng vấn căng thì khả năng là team ngon vì mấy ông dốt không biết hỏi gì đâu :v


Click to expand...

pv họ hay hỏi gì vậy fen 

 
"
