Userlist,data
"{'873787': 'Fire Of Heart', '792463': 'Jarvis2802', '1772182': 'darkrose', '1841712': 'theasker01', '1786278': 'polieste', '503836': 'spam102', '1248432': 'bonamana2811', '1315878': 'dinhphong2610', '1844540': 'Mob Psycho', '1653529': 'teeeeeeeee', '1438997': 'talatroi'}","{'message_id': '22646314', 'message_time': 'No date found in the string', 'quote': [['22646263'], {'blockid': '1653529', 'data_source': '22646263', 'data_text': '\n\nteeeeeeeee said:\n\n\n\nCông ty: Shopback\nThời điểm: 5/2022 (Sau khi bị Wolffun chơi một vố, giờ vẫn còn cay ) FYI\nVị trí: Frontend Engineer\nHr contact qua Linkedin sau đó là trao đổi qua zalo\nChuẩn bị: Đã dành khoảng 1 tháng để giải Leetcode và cũng có 1 lần PV khởi động ở Zalo\nVòng 1: sau khi Screen CV và nch sơ với HR thì sẽ có một buổi tech interview với 2 người trong Shopback (Lúc đó mình nhớ là một chị và một anh).\nẤn tượng thì họ khá là nice, về câu hỏi cho vị trí mình pv là FE engineer thì sẽ có 3 câu Algo (khoảng Easy tới Medium Leetcode), những thứ bên phía Frontend (cả cơ bản lẫn nâng cao).\nSau vòng đó là sẽ có một vòng nch với anh Head of Engineering bên VN (chủ blog Codeaholicguy) chủ yếu là về những thứ đã làm ở cty cũ, về công nghệ, blah blah => buổi nch này thì thoải mái nhẹ nhàng.\nVòng 2: Sẽ có một buổi nch với Head of Engineering bên phía Sin, một anh người Sin ốm ốm và nch rất thân thiện mặc dù accent hơi khó nghe.\nVòng 3: Deal lương với HR\nKết quả: Sau khi deal lương xong xuôi hết và nhận đc Offer, mình quyết định cancel hết tất cả những buổi interview với một bên mình đang pv là Trusting Social (Chỉ còn 1 round cuối là tới vòng deal lương) thì được HR báo là bên Shopback nhận được thông báo là freeze tuyển dụng nên case của mình bị Pending  Lại bơ vơ một lần nữa sau khi bị Wolffun chơi một vố (Wolffun đã chơi tôi như thế nào?)\nKinh nghiệm rút ra:\n\n30 chưa phải là Tết, không nên cancel những bên khác => Nên pv hết để chọn offer tốt nhất. \n\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nteeeeeeeee said:\n\n\n\nCông ty: Shopback\nThời điểm: 5/2022 (Sau khi bị Wolffun chơi một vố, giờ vẫn còn cay ) FYI\nVị trí: Frontend Engineer\nHr contact qua Linkedin sau đó là trao đổi qua zalo\nChuẩn bị: Đã dành khoảng 1 tháng để giải Leetcode và cũng có 1 lần PV khởi động ở Zalo\nVòng 1: sau khi Screen CV và nch sơ với HR thì sẽ có một buổi tech interview với 2 người trong Shopback (Lúc đó mình nhớ là một chị và một anh).\nẤn tượng thì họ khá là nice, về câu hỏi cho vị trí mình pv là FE engineer thì sẽ có 3 câu Algo (khoảng Easy tới Medium Leetcode), những thứ bên phía Frontend (cả cơ bản lẫn nâng cao).\nSau vòng đó là sẽ có một vòng nch với anh Head of Engineering bên VN (chủ blog Codeaholicguy) chủ yếu là về những thứ đã làm ở cty cũ, về công nghệ, blah blah => buổi nch này thì thoải mái nhẹ nhàng.\nVòng 2: Sẽ có một buổi nch với Head of Engineering bên phía Sin, một anh người Sin ốm ốm và nch rất thân thiện mặc dù accent hơi khó nghe.\nVòng 3: Deal lương với HR\nKết quả: Sau khi deal lương xong xuôi hết và nhận đc Offer, mình quyết định cancel hết tất cả những buổi interview với một bên mình đang pv là Trusting Social (Chỉ còn 1 round cuối là tới vòng deal lương) thì được HR báo là bên Shopback nhận được thông báo là freeze tuyển dụng nên case của mình bị Pending  Lại bơ vơ một lần nữa sau khi bị Wolffun chơi một vố (Wolffun đã chơi tôi như thế nào?)\nKinh nghiệm rút ra:\n\n30 chưa phải là Tết, không nên cancel những bên khác => Nên pv hết để chọn offer tốt nhất. \n\n\nClick to expand...\n\nGiờ làm đâu rồi fen Thịnh\n\n\xa0\n'}"
"{'2035408': 'Capta1n_Shy', '1797765': 'Always on Display', '1614485': 'caothuphu2013', '1653529': 'teeeeeeeee', '1789779': 'h_ngyn', '1682315': 'emlameo4`', '1780979': 'huungphan', '1949982': 'khánh B', '2037216': 'chubemuidai', '1684307': 'garanphomai', '1838150': 'Frankie9x', '1277163': 'Fang1Dem'}","{'message_id': '33626248', 'message_time': datetime.datetime(2024, 9, 10, 22, 3), 'quote': [], 'text': '\n\ncho mình xin review phỏng vấn FPT Telecom với\n\n\xa0\n'}"
"{'1942696': 'JinggeNt', '1572586': 'havorx', '1943549': 'ishigami', '1074361': 'chuquanthitcho', '1993012': 'devlord', '1653529': 'teeeeeeeee', '1713707': 'buonlixi', '1789779': 'h_ngyn', '2035408': 'Capta1n_Shy', '2033272': 'doanak000', '1837361': '@bdv96'}","{'message_id': '33436486', 'message_time': datetime.datetime(2024, 8, 29, 0, 14), 'quote': [['33432412'], {'blockid': '2035408', 'data_source': '33432412', 'data_text': '\n\nCapta1n_Shy said:\n\n\n\nBác apply ShopBack hở :3\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nCapta1n_Shy said:\n\n\n\nBác apply ShopBack hở :3\n\nClick to expand...\n\nyep em đang process với bên đó\n\n\xa0\n'}"
"{'1481355': 'small-lambda', '1884237': 'hiraki_ryo', '2002868': 'Goatcr7', '1786434': 'MeoVuiVe9121', '2028103': 'nguyennguyen012', '1850453': 'hondaracing', '1771708': 'dinhson2212', '1868226': 'depcuibap', '1572586': 'havorx', '1041985': 'JeremyX2X', '1614485': 'caothuphu2013', '1777068': 'Justabi'}","{'message_id': '33336906', 'message_time': datetime.datetime(2024, 8, 22, 14, 47), 'quote': [['31254915'], {'blockid': '1976278', 'data_source': '31254915', 'data_text': '\n\nJoseph Hoa said:\n\n\n\nfen cho tui hỏi, vòng 2 là phỏng vấn về gì vậy, tui t2 pv vòng 2\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nJoseph Hoa said:\n\n\n\nfen cho tui hỏi, vòng 2 là phỏng vấn về gì vậy, tui t2 pv vòng 2\n\nClick to expand...\n\nPv sao rồi bác, cho tui xin review vớiii\n\n\xa0\n'}"
"{'1982835': 'darkrose1', '1942696': 'JinggeNt', '1968990': 'test_username', '1786434': 'MeoVuiVe9121', '1837655': 'hicup00', '2005478': 'MonsieurOh', '2005805': 'Hạ Thảo', '1712782': 'papillontheminions', '1964268': 'javadev', '1737315': 'Hihixinchao', '2009349': 'Diệp Vô Ưu', '2014888': 'siunhanvjppro', '1489310': 'kidbumz', '2005507': 'Dr kine', '1873243': 'ankeongonthe'}","{'message_id': '32567011', 'message_time': 'No date found in the string', 'quote': [['32566538'], {'blockid': '1873243', 'data_source': '32566538', 'data_text': '\n\nankeongonthe said:\n\n\n\nNếu được thì cả 2 luôn nha bác, cảm ơn bác nhiều. Tại mình cũng đang định apply vào Nexon\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nankeongonthe said:\n\n\n\nNếu được thì cả 2 luôn nha bác, cảm ơn bác nhiều. Tại mình cũng đang định apply vào Nexon\n\nClick to expand...\n\nBài test 2 phần, 1 phần là bài kiểm tra ngữ pháp, situation na ná cấp 3 vậy, phần còn lại là viết đoạn văn nói về kỉ niệm về game từ nhỏ. Còn vào phỏng vấn thì đã có trên bài rồi đấy \n\n\n\n\n\xa0\n'}"
"{'1685253': 'Dev xịn', '1864065': 'Mỹ Chu Lang', '1730251': 'Kiosolo', '1982835': 'darkrose1', '1942696': 'JinggeNt', '1637581': 'BadCoder', '1700629': 'tiencua48651', '1968990': 'test_username', '1868574': 'chaulinh', '1418575': 'luiz', '1750420': 'minhmssi'}","{'message_id': '31963446', 'message_time': datetime.datetime(2024, 5, 25, 8, 54), 'quote': [['26787207'], {'blockid': '1674316', 'data_source': '26787207', 'data_text': '\n\ndighalk said:\n\n\n\nEm chuẩn bị pv làm backend ở Vietcombank, có bác nào có kinh nghiệm phỏng vấn share cho em với chứ em đang mù tịt, thấy bảo bên đó có cả thi tuyển gì nữa :LOL : \n\nClick to expand...\n\n'}], 'text': '\n\n\n\ndighalk said:\n\n\n\nEm chuẩn bị pv làm backend ở Vietcombank, có bác nào có kinh nghiệm phỏng vấn share cho em với chứ em đang mù tịt, thấy bảo bên đó có cả thi tuyển gì nữa :LOL : \n\nClick to expand...\n\nCó review chưa bác (\n\n\xa0\n'}"
"{'1873540': 'thapnhat111', '1847629': 'devquenok', '1843047': 'Lovevietnam_Forever', '1966620': 'xSugarKingx', '1874378': 'sjk013', '1418575': 'luiz', '1983445': 'Momo03', '1865745': 'greentealatte2105', '1846614': 'Vị thầy tu cầm khẩu AK', '1753680': 'Phan Đình Giót', '1982835': 'darkrose1', '1942696': 'JinggeNt', '1991507': 'vodka_hanoi3', '1689893': 'nammegai', '1895582': 'Lại ngứa chân', '1973239': 'kevion'}","{'message_id': '31730328', 'message_time': datetime.datetime(2024, 5, 10, 22, 6), 'quote': [], 'text': '\n\ncó web nào cũng chia sẻ case phỏng vấn như thread này k các bác nhỉ\n\n\xa0\n'}"
"{'1976195': 'hold_on_never_leave', '1898298': 'Dbeaver', '1685253': 'Dev xịn', '1983445': 'Momo03', '1538629': 'pbq2401', '1950044': 'Vim chà bồn cầu', '1981900': 'sieutiendao', '1976278': 'Joseph Hoa', '1786434': 'MeoVuiVe9121', '1712558': 'thuypt', '1842664': 'Namvh21', '1492730': 'nguyenkhaclong', '1857495': 'supersoap97', '1990423': 'alittleproductowner', '1689893': 'nammegai', '1865745': 'greentealatte2105', '1976095': 'devbet'}","{'message_id': '31510253', 'message_time': datetime.datetime(2024, 4, 26, 18, 5), 'quote': [['31509866'], {'blockid': '1874378', 'data_source': '31509866', 'data_text': '\n\nsjk013 said:\n\n\n\ne đã apply vào Naver được 2 lần và cả 2 lần đều đến hết vòng cuối cùng\nLần 1(năm ngoái) thì pass hết cả 3 vòng xong cuối cùng bảo job pending\nLần 2(năm nay) cũng đi đến được vòng cuối cùng, bắt đợi nửa tháng mới có kết quả xong cuối cùng bảo mindset k hợp -> tạch, làm mất rất nhiều thời gian, sao từ đâu không nói vậy luôn đi\nVì e có làm bài test cả 2 lần nên bác nào có nhu cầu muốn apply thì liên hệ e nhận bài test trước (500k)\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nsjk013 said:\n\n\n\ne đã apply vào Naver được 2 lần và cả 2 lần đều đến hết vòng cuối cùng\nLần 1(năm ngoái) thì pass hết cả 3 vòng xong cuối cùng bảo job pending\nLần 2(năm nay) cũng đi đến được vòng cuối cùng, bắt đợi nửa tháng mới có kết quả xong cuối cùng bảo mindset k hợp -> tạch, làm mất rất nhiều thời gian, sao từ đâu không nói vậy luôn đi\nVì e có làm bài test cả 2 lần nên bác nào có nhu cầu muốn apply thì liên hệ e nhận bài test trước (500k)\n\nClick to expand...\n\nCho em hỏi bác apply Level nào vậy bác?\n\n\xa0\n'}"
"{'1685253': 'Dev xịn', '1829967': 'chiyeuemthoi', '1725408': 'Ối Dồi Ôi !', '1683318': 'How long will i love u', '1916602': 'kp2101', '89186': 'recca2007', '1741300': 'hungpn2212', '1429918': 'Moon.VHT', '1960059': 'ntkgoodkid', '1744121': 'Dev cùi', '1830987': 'vietttttBau'}","{'message_id': '31076228', 'message_time': 'No date found in the string', 'quote': [['30833104'], {'blockid': '1685253', 'data_source': '30833104', 'data_text': '\n\nDev xịn said:\n\n\n\nBác nào cho em xin review phỏng vấn Upskills, Paradox với ạ\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nDev xịn said:\n\n\n\nBác nào cho em xin review phỏng vấn Upskills, Paradox với ạ\n\nClick to expand...\n\nbác pv thằng upskill chưa\n\n\xa0\n'}"
"{'1934960': 'cmtryyy', '1897809': 'josjos', '1803083': 'Young_Dev_In_SG', '590446': 'bitua1412', '1786278': 'polieste', '1786434': 'MeoVuiVe9121', '1771708': 'dinhson2212', '1971549': 'Goosam999', '1489290': 'Dong Phuong Muoi Muoi', '1672965': 'TungDeTien24', '1849317': 'guenhiep', '1673002': 'Duyenthangne', '1898298': 'Dbeaver', '1540161': 'Love U So Much', '1721473': 'ngx3009', '1735840': 'DoiToi CoDon', '1795336': 'Hàn.Tín', '1603961': 'sharkkaizer'}","{'message_id': '30679859', 'message_time': 'No date found in the string', 'quote': [['30552843'], {'blockid': '1735840', 'data_source': '30552843', 'data_text': '\n\nDoiToi CoDon said:\n\n\n\nCó bác nào review giúp vòng technical cho vị trí fresher backend của Orange Logic không ạ?\n\nClick to expand...\n\n'}], 'text': '\n\n\n\nDoiToi CoDon said:\n\n\n\nCó bác nào review giúp vòng technical cho vị trí fresher backend của Orange Logic không ạ?\n\nClick to expand...\n\nMình phỏng vấn ở đây hơn 4 năm rồi, không biết còn giống không nữa.\nVòng 1 HR screening gọi điện cho mình hỏi về background rồi tiếng anh các thứ.\nVòng 2 làm 1 bài Codility: 2 bài cũng khá dễ.\nVòng 3 Phỏng vấn với anh lead online, hổi về kiến thức cấu trúc dữ liệu & giải thuật. Kinh nghiệm làm việc, ect, ...\nVòng 4: Onsite lên văn phòng pv với anh CTO người Pháp, hỏi về mấy cái kinh nghiệm làm việc, proplem solving skill, ảnh hỏi mình có 1 chiếc xe bus thì cần bao nhiêu quả bóng bàn để fill đầy nó? Cũng vui. Với có nói chuyện với 1 anh hình như là EM hay gì đó, lâu quá quên rồi.\nKết quả pass mà đi làm được 3 tháng mình xin nghỉ vì không hợp với văn hoá công ty.\n\n\xa0\n'}"
